source,sector,year,flow_stage,amount_usd
oecd_crs,energy,2016,commitment,148964407.0
oecd_crs,energy,2016,disbursement,72968768.0
oecd_crs,energy,2017,commitment,195182056.0
oecd_crs,energy,2017,disbursement,97232745.0
oecd_crs,energy,2018,commitment,174707821.0
oecd_crs,energy,2018,disbursement,184036768.0
oecd_crs,energy,2019,commitment,474759302.0
oecd_crs,energy,2019,disbursement,148789976.0
oecd_crs,energy,2020,commitment,486072350.0
oecd_crs,energy,2020,disbursement,223458339.0
oecd_crs,energy,2021,commitment,179380983.0
oecd_crs,energy,2021,disbursement,141688301.0
oecd_crs,energy,2022,commitment,165383737.0
oecd_crs,energy,2022,disbursement,154078489.0
oecd_crs,energy,2023,commitment,400372966.0
oecd_crs,energy,2023,disbursement,172847423.0
oecd_crs,energy,2024,commitment,472265417.0
oecd_crs,energy,2024,disbursement,275573362.0
oecd_crs,environment,2015,commitment,35301371.0
oecd_crs,environment,2015,disbursement,28288441.0
oecd_crs,environment,2016,commitment,30950539.0
oecd_crs,environment,2016,disbursement,39296899.0
oecd_crs,environment,2017,commitment,20397936.0
oecd_crs,environment,2017,disbursement,27197635.0
oecd_crs,environment,2018,commitment,43690211.0
oecd_crs,environment,2018,disbursement,34710338.0
oecd_crs,environment,2019,commitment,21281007.0
oecd_crs,environment,2019,disbursement,19237860.0
oecd_crs,environment,2020,commitment,19493529.0
oecd_crs,environment,2020,disbursement,28621483.0
oecd_crs,environment,2021,commitment,72716856.0
oecd_crs,environment,2021,disbursement,28238045.0
oecd_crs,environment,2022,commitment,23288049.0
oecd_crs,environment,2022,disbursement,13051431.0
oecd_crs,environment,2023,commitment,30291675.0
oecd_crs,environment,2023,disbursement,21749517.0
oecd_crs,environment,2024,commitment,86027075.0
oecd_crs,environment,2024,disbursement,34941345.0
oecd_crs,finance,2015,commitment,106114481.0
oecd_crs,finance,2015,disbursement,124944753.0
oecd_crs,finance,2016,commitment,13493621.0
oecd_crs,finance,2016,disbursement,7797707.0
oecd_crs,finance,2017,commitment,100243593.0
oecd_crs,finance,2017,disbursement,107291702.0
oecd_crs,finance,2018,commitment,90607625.0
oecd_crs,finance,2018,disbursement,18761660.0
oecd_crs,finance,2019,commitment,96750095.0
oecd_crs,finance,2019,disbursement,99522875.0
oecd_crs,finance,2020,commitment,205012838.0
oecd_crs,finance,2020,disbursement,11249717.0
oecd_crs,finance,2021,commitment,57844779.0
oecd_crs,finance,2021,disbursement,272751750.0
oecd_crs,finance,2022,commitment,336261668.0
oecd_crs,finance,2022,disbursement,180876991.0
oecd_crs,finance,2023,commitment,76754675.0
oecd_crs,finance,2023,disbursement,38918176.0
oecd_crs,finance,2024,commitment,89630291.0
oecd_crs,finance,2024,disbursement,70648954.0
oecd_crs,food_aid,2015,commitment,14985600.0
