DATAFLOW,DONOR: Donor,RECIPIENT: Recipient,MEASURE: Measure,UNIT_MEASURE: Unit of measure,PRICE_BASE: Price base,TIME_PERIOD: Time period,OBS_VALUE,BASE_PER: Base period,UNIT_MULT: Unit multiplier,FLOW_TYPE: Flow type,OBS_STATUS: Observation status
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1629: UBS Optimus Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,1.658099,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1617: Conrad N. Hilton Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.219312,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0: Postcode Lottery Group,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.660529,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1650: Good Ventures Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.021009,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1608: IKEA Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.904812,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1630: World Diabetes Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.364582,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0_NL: Dutch Postcode Lottery,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.552827,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0_DE: German Postcode Lottery,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.107702,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1611: Oak Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.412123,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1629: UBS Optimus Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,3.560322,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1618: David and Lucile Packard Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,0.037196,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0: Postcode Lottery Group,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,0.26227,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1614: Charity Projects Ltd (Comic Relief),NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,0.287203,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1638: Margaret A. Cargill Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,1.725861,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0_NL: Dutch Postcode Lottery,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,0.039794,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0_SE: Swedish Postcode Lottery,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,0.222476,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1627: Ford Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2020,0.209774,2024,6: Millions,D: Disbursements,A: Normal value
